DWUS_BrandId,website,CampaignId,CampaignName,CampaignDate,CampaignEndDate
WSJ,https://www.wsjwine.com,2004002,15% off Dow Jones,9/11/08,12/31/20
4S,https://www.laithwaites.com,2021043,4 Seasons Wine Club (9 bottles WD),5/22/19,8/20/30
4S,https://www.laithwaites.com,2021042,4 Seasons Wine Club (9 Bottles),5/15/19,8/13/30
4S,https://www.laithwaites.com,3225004,4S Web - Walk up traffic Miscellaneous Apr-11 Other premium,3/27/11,1/3/50
4S,https://www.laithwaites.com,2057008,4Seasons Replacements ,3/24/09,12/31/20
4S,https://www.laithwaites.com,2021026,Better Homes & Gardens,9/20/17,12/31/30
4S,https://www.laithwaites.com,2021044,Better Homes & Gardens Wine Club (9 Bottles WD),5/22/19,8/20/30
4S,https://www.laithwaites.com,2021038,Better Homes & Gardens Wine Club (9 Bottles) Renewal,8/1/18,10/30/30
4S,https://www.laithwaites.com,2021056,Chateau Sixtine Chateauneuf Club LW,4/15/20,7/14/30
WSJ,https://www.wsjwine.com,2021055,Chateau Sixtine Chateauneuf Club WSJ,4/15/20,7/14/30
4S,https://www.laithwaites.com,1928001,CS 4S DM Unspecified Jun-20 None,5/18/20,9/13/20
4S,https://www.laithwaites.com,1924001,CS 4S Telemarketing Unspecified Jul-20 None,7/10/20,11/5/20
4S,https://www.laithwaites.com,8687001,EM 4S Email HF - LW Sep-19 None,9/4/19,10/1/20
4S,https://www.laithwaites.com,611002,EM 4S Email HOUSE FILE Jul-20 None,6/20/20,8/1/20
4S,https://www.laithwaites.com,1328002,EM 4S Email HOUSE FILE Jul-20 None,6/20/20,8/1/20
4S,https://www.laithwaites.com,1328003,EM 4S Email HOUSE FILE Jul-20 None,6/20/20,8/1/20
4S,https://www.laithwaites.com,1328004,EM 4S Email HOUSE FILE Jul-20 None,6/30/20,8/11/20
4S,https://www.laithwaites.com,1328001,EM 4S Email HOUSE FILE Jul-20 None,6/19/20,8/14/20
4S,https://www.laithwaites.com,1328005,EM 4S Email HOUSE FILE Jul-20 None,7/14/20,8/25/20
4S,https://www.laithwaites.com,611001,EM 4S Email HOUSE FILE May-20 None,5/9/20,9/4/20
4S,https://www.laithwaites.com,1333002,EM 4S Email Unspecified Aug-20 None,7/28/20,9/8/20
4S,https://www.laithwaites.com,1333001,EM 4S Email Unspecified Jul-20 None,7/11/20,9/5/20
