DWUS_BrandId,AX_RESPONSE_CODE,NAME,ATG_Start_Date,ATG_End_Date,Orders
WSJ,2004002,WSJ -Dow Jones Employee Discount 15% Off,09/11/08,12/31/24,6
WSJ,2004007,WSJ Replacements - Free shipping,10/06/08,12/31/30,170
4S,2057008,4S Replacements - Free Shipping,03/24/09,12/31/30,65
VIRGIN,2822001,Virgin Wines - Customer Service Replacements,10/06/10,02/20/30,11
VIRGIN,3233004,VIRGIN Web - Walk up traffic Virgin Web Default - Customer Marketing,10/05/12,01/03/50,2
4S,5361001,RC 4S Walk up - Retail Testing Volume Sep-13 None,08/22/13,01/01/30,
4S,5361002,RC 4S Walk up - Retail Testing Volume Sep-13 None,08/22/13,01/01/30,
4S,5361003,RC 4S Walk up - Retail Testing Volume Sep-13 None,08/22/13,01/01/30,1
4S,5361004,RC 4S Walk up - Retail Testing Volume Sep-13 None,08/22/13,01/01/30,
VIRGIN,5374001,VIRGIN Walk up - Retail Testing Volume Sep-13 None,08/26/13,01/01/30,
WSJ,5431001,RC WSJ Walk up - Retail Testing Volume Nov-13 None,10/23/13,07/11/22,2
WSJ,5431002,RC WSJ Walk up - Retail Testing Volume Nov-13 None,10/23/13,11/20/22,
4S,5617001,SB 4S Other Unspecified May-14 None,04/17/14,12/31/30,"13,751"
VIRGIN,5374002,ZZ VIRGIN Unknown Dummy DWI/5374001 Jun-14 None,06/10/14,01/01/30,
VIRGIN,5374003,ZZ VIRGIN Unknown Dummy DWI/5374001 Jun-14 None,06/10/14,01/01/30,
4S,5510001,RT 4S Other Laithwaiteswine.com Jan-17 None,12/18/16,01/15/30,14
WSJ,5511001,RT WSJ Other WSJwine.com Feb-17 None,01/18/17,02/15/30,12
VIRGIN,5513001,RT VIRGIN Other virginwines.com Jan-18 None,12/18/17,01/14/30,
4S,8681001,NC 4S Other TCM Jan-18 None,12/18/17,01/14/30,2
4S,8681002,NC 4S Other TCM Jan-18 None,12/18/17,01/14/30,1
4S,8681003,NC 4S Other National Geographic Jan-18 None,12/18/17,01/14/30,
4S,8681004,NC 4S Other National Geographic Jan-18 None,12/18/17,01/14/30,
4S,8681005,NC 4S Other National Wildlife Federation Jan-18 None,12/18/17,01/14/30,
4S,8681006,NC 4S Other National Wildlife Federation Jan-18 None,12/18/17,01/14/30,
4S,8681007,NC 4S Other Southwest Airlines Jan-18 None,12/18/17,01/14/30,1
4S,8681008,NC 4S Other Southwest Airlines Jan-18 None,12/18/17,01/14/30,
4S,9441001,RC 4S Other Unallocated orders Mar-18 None,02/19/18,01/14/30,
MACYS,9368001,MM MACYS Other MWC RC Partner Standard Offers,09/29/18,01/14/30,43
4S,9369001,MM 4S Other NPR RC Partner Standard Offers,09/29/18,01/14/30,
4S,9370001,MM 4S Other BH&G RC Partner Standard Offers,09/29/18,01/14/30,
MACYS,0371001,RT MACYS Other Macy's Nov-18 None,10/18/18,01/14/30,
WSJ,0990001,RC WSJ Inserts - Statements Winery Direct Mar-20 2 bottle...,02/16/20,03/15/21,43
4S,1167001,RC 4S Email Punchbowl Mar-20 3 bottles Chateau du Haut Ch...,02/16/20,03/15/21,18
